,bbox_x1,bbox_y1,bbox_x2,bbox_y2,file_name,gray_scale,label,train/val
57,11,35,256,173,00058.jpg,False,64,val
58,68,91,607,354,00059.jpg,False,89,train
59,129,120,345,269,00060.jpg,False,123,train
60,11,104,1011,742,00061.jpg,False,113,val
61,19,21,425,265,00062.jpg,False,189,train
62,175,330,928,647,00063.jpg,False,100,train
63,97,39,925,700,00064.jpg,False,186,train
64,63,175,417,320,00065.jpg,False,7,train
65,30,39,221,125,00066.jpg,False,16,train
66,129,89,594,432,00067.jpg,False,110,val
67,32,43,598,350,00068.jpg,False,121,val
68,142,124,675,445,00069.jpg,False,4,train
69,220,313,1054,976,00070.jpg,False,28,train
70,8,12,639,299,00071.jpg,False,125,train
71,92,271,1178,749,00072.jpg,False,93,train
72,15,12,314,230,00073.jpg,False,105,train
73,14,12,309,223,00074.jpg,False,105,train
74,45,74,522,253,00075.jpg,False,187,train
75,12,27,284,166,00076.jpg,False,58,train
76,25,25,3502,2017,00077.jpg,False,109,train
77,36,88,611,417,00078.jpg,False,42,val
78,165,126,749,425,00079.jpg,False,132,train
79,20,21,292,217,00080.jpg,False,110,val
80,10,55,540,271,00081.jpg,False,7,train
81,63,113,597,413,00082.jpg,False,191,train
82,55,48,294,205,00083.jpg,False,17,train
83,27,67,620,474,00084.jpg,False,115,val
84,15,80,629,402,00085.jpg,False,48,val
85,119,300,1416,871,00086.jpg,False,144,val
86,17,36,455,215,00087.jpg,False,48,train
87,171,176,2373,1751,00088.jpg,False,169,val
88,49,195,1003,617,00089.jpg,False,19,val
89,5,43,296,211,00090.jpg,False,113,train
90,49,57,494,419,00091.jpg,False,164,train
91,101,84,492,272,00092.jpg,False,137,val
92,23,53,258,144,00093.jpg,False,174,train
93,19,60,783,440,00094.jpg,False,111,train
94,110,171,1213,648,00095.jpg,False,121,val
95,39,67,346,206,00096.jpg,False,103,train
96,3,7,76,50,00097.jpg,False,56,val
97,65,37,578,360,00098.jpg,False,50,train
98,27,60,486,364,00099.jpg,False,36,train
99,22,180,454,355,00100.jpg,False,70,val
100,70,39,940,742,00101.jpg,False,192,train
101,99,130,396,222,00102.jpg,False,104,train
102,85,107,609,381,00103.jpg,False,60,train
103,1,76,480,315,00104.jpg,False,73,train
104,57,266,967,623,00105.jpg,False,132,train
105,69,75,236,161,00106.jpg,False,161,train
106,24,17,249,163,00107.jpg,False,130,train
107,7,27,212,147,00108.jpg,False,87,train
108,18,14,248,168,00109.jpg,False,120,train
109,19,2,591,387,00110.jpg,False,179,train
110,52,6,759,513,00111.jpg,False,179,train
111,231,103,430,226,00112.jpg,False,136,train
112,91,148,700,582,00113.jpg,False,132,train
113,19,72,624,397,00114.jpg,False,70,train
114,26,90,376,243,00115.jpg,False,82,train
115,132,120,667,401,00116.jpg,False,109,val
116,84,44,663,342,00117.jpg,False,41,train
117,87,235,591,412,00118.jpg,False,176,train
118,173,370,1207,960,00119.jpg,False,146,train
119,3,19,195,114,00120.jpg,False,160,train
120,49,143,487,455,00121.jpg,False,108,val
121,72,67,233,176,00122.jpg,False,27,train
122,151,568,1954,1271,00123.jpg,False,143,train
123,14,88,271,178,00124.jpg,False,52,train
124,135,761,1894,1353,00125.jpg,False,28,train
125,44,123,778,487,00126.jpg,False,65,train
126,69,103,537,322,00127.jpg,False,78,train
127,86,78,355,284,00128.jpg,False,12,train
128,50,80,592,273,00129.jpg,False,135,train
129,95,161,543,368,00130.jpg,False,142,train
130,275,195,863,474,00131.jpg,False,170,val
131,99,78,557,389,00132.jpg,False,88,train
132,11,126,426,360,00133.jpg,False,134,val
133,1,2,267,185,00134.jpg,False,160,train
134,19,735,2669,2192,00135.jpg,False,57,train
135,21,35,279,195,00136.jpg,False,121,train
136,45,99,593,403,00137.jpg,False,177,train
137,130,282,1425,900,00138.jpg,False,55,train
138,72,215,628,481,00139.jpg,False,183,train
139,62,95,633,434,00140.jpg,False,190,train
140,13,106,476,260,00141.jpg,False,39,train
141,78,300,952,633,00142.jpg,False,59,train
142,72,51,566,412,00143.jpg,False,154,train
143,66,59,283,202,00144.jpg,False,70,train
144,135,36,1181,885,00145.jpg,False,139,train
145,2,5,298,162,00146.jpg,False,41,train
146,8,12,770,309,00147.jpg,False,75,train
147,24,78,608,379,00148.jpg,False,186,train
148,34,1,242,179,00149.jpg,False,85,train
149,11,208,596,386,00150.jpg,False,7,train
150,8,37,294,150,00151.jpg,False,4,val
151,23,66,499,311,00152.jpg,False,46,train
152,6,138,627,361,00153.jpg,False,29,val
153,17,105,385,243,00154.jpg,False,17,val
154,76,4,1585,1120,00155.jpg,False,148,train
155,22,21,211,139,00156.jpg,False,173,val
156,32,130,973,661,00157.jpg,False,137,train
157,75,236,1196,846,00158.jpg,False,178,train
158,37,139,988,694,00159.jpg,False,23,val
159,114,46,546,287,00160.jpg,False,41,val
160,12,83,629,354,00161.jpg,False,72,train
161,38,66,548,385,00162.jpg,False,175,train
162,46,84,661,428,00163.jpg,False,0,train
163,13,29,239,174,00164.jpg,False,36,train
164,27,65,490,220,00165.jpg,False,35,train
165,4,69,402,245,00166.jpg,False,107,val
166,19,27,429,258,00167.jpg,False,40,train
167,110,96,565,389,00168.jpg,False,39,val
168,2,22,140,81,00169.jpg,False,118,train
169,48,71,615,453,00170.jpg,False,118,train
170,41,42,262,170,00171.jpg,False,18,train
171,6,108,493,267,00172.jpg,False,162,train
172,26,61,508,342,00173.jpg,False,119,train
173,13,29,249,159,00174.jpg,False,53,train
174,69,120,739,502,00175.jpg,False,115,val
175,45,85,1005,558,00176.jpg,False,65,train
176,98,22,650,302,00177.jpg,False,49,train
177,5,28,285,148,00178.jpg,False,121,train
178,42,113,601,439,00179.jpg,False,154,train
179,3,40,297,157,00180.jpg,False,141,train
180,84,256,913,752,00181.jpg,False,67,val
181,43,226,1001,630,00182.jpg,False,169,val
182,2,9,196,125,00183.jpg,False,160,train
183,34,51,604,344,00184.jpg,False,160,train
184,24,35,620,438,00185.jpg,False,132,train
185,6,72,255,178,00186.jpg,False,124,train
186,4,408,1600,934,00187.jpg,False,159,train
187,25,162,1241,764,00188.jpg,False,92,train
188,18,15,583,421,00189.jpg,False,182,val
189,198,416,1271,935,00190.jpg,False,44,val
190,129,75,654,422,00191.jpg,False,142,train
191,37,24,259,212,00192.jpg,False,188,train
192,82,107,990,723,00193.jpg,False,47,val
193,187,327,1211,769,00194.jpg,False,175,train
194,150,339,1313,771,00195.jpg,False,76,train
195,26,46,266,213,00196.jpg,False,189,train
196,47,102,492,371,00197.jpg,False,109,train
197,91,121,574,357,00198.jpg,False,5,val
198,151,298,1285,835,00199.jpg,False,190,train
199,30,55,301,187,00200.jpg,False,15,train
200,21,1,386,200,00201.jpg,False,11,train
201,233,217,1228,807,00202.jpg,False,89,train
202,30,167,945,545,00203.jpg,False,187,val
203,11,61,284,151,00204.jpg,False,127,train
204,29,70,612,356,00205.jpg,False,22,val
205,117,222,558,434,00206.jpg,False,10,val
206,31,119,438,258,00207.jpg,False,92,train
207,26,151,360,256,00208.jpg,False,7,train
208,58,136,973,636,00209.jpg,False,62,train
209,8,80,639,366,00210.jpg,False,172,val
210,11,47,598,365,00211.jpg,False,175,train
211,8,20,254,155,00212.jpg,False,71,train
212,37,62,261,191,00213.jpg,False,194,train
213,70,78,915,640,00214.jpg,False,113,val
214,38,50,221,138,00215.jpg,False,71,train
215,21,45,133,88,00216.jpg,False,118,train
216,45,39,594,444,00217.jpg,False,17,train
217,39,94,337,245,00218.jpg,False,76,val
218,89,1,597,316,00219.jpg,False,17,train
219,16,103,462,347,00220.jpg,False,106,train
220,29,21,477,299,00221.jpg,False,9,train
221,89,58,545,338,00222.jpg,False,195,train
222,42,115,299,288,00223.jpg,False,98,val
223,19,10,177,134,00224.jpg,False,87,train
224,20,50,463,313,00225.jpg,False,120,train
225,46,15,202,156,00226.jpg,False,110,train
226,36,63,613,397,00227.jpg,False,60,val
227,237,156,896,365,00228.jpg,False,140,train
228,5,46,255,138,00229.jpg,False,135,train
229,223,542,3692,2478,00230.jpg,False,182,train
230,73,109,606,374,00231.jpg,False,105,train
231,15,110,544,381,00232.jpg,False,83,train
232,276,124,1495,951,00233.jpg,False,193,train
233,99,364,1211,954,00234.jpg,False,131,train
234,59,63,549,404,00235.jpg,False,110,val
235,19,138,571,424,00236.jpg,False,6,train
236,11,10,396,265,00237.jpg,False,64,train
237,163,91,527,346,00238.jpg,False,25,train
238,4,19,255,172,00239.jpg,False,15,train
239,45,60,251,171,00240.jpg,False,137,train
240,32,59,1011,709,00241.jpg,False,169,train
241,10,53,273,167,00242.jpg,False,101,val
242,270,228,727,416,00243.jpg,False,167,train
243,21,93,479,331,00244.jpg,False,6,train
244,22,59,536,238,00245.jpg,False,60,val
245,1,317,1280,945,00246.jpg,False,166,train
246,47,125,850,468,00247.jpg,False,136,train
247,52,167,508,387,00248.jpg,False,176,train
248,6,155,631,450,00249.jpg,False,152,val
249,11,35,246,186,00250.jpg,False,189,val
250,576,466,2994,1953,00251.jpg,False,166,train
251,37,50,253,158,00252.jpg,False,104,train
252,51,105,579,335,00253.jpg,False,49,train
253,21,11,296,141,00254.jpg,False,130,train
254,29,78,734,396,00255.jpg,False,5,train
255,85,215,776,511,00256.jpg,False,20,train
256,23,146,617,329,00257.jpg,False,30,train
257,34,86,227,166,00258.jpg,False,50,train
258,75,254,2514,1929,00259.jpg,False,186,train
259,28,164,698,417,00260.jpg,False,133,train
260,32,79,378,221,00261.jpg,False,15,train
261,158,132,501,293,00262.jpg,False,102,train
262,177,299,730,673,00263.jpg,False,39,train
263,42,72,472,299,00264.jpg,False,68,train
264,15,74,387,195,00265.jpg,False,54,train
265,22,300,786,552,00266.jpg,True,16,train
266,25,133,620,374,00267.jpg,False,45,train
267,49,53,596,398,00268.jpg,False,73,train
268,29,192,605,391,00269.jpg,False,184,val
269,15,70,357,186,00270.jpg,False,121,train
270,11,23,141,80,00271.jpg,False,173,train
271,8,1,590,327,00272.jpg,False,99,val
272,37,65,458,321,00273.jpg,False,68,train
273,31,69,435,310,00274.jpg,False,19,train
274,165,183,495,358,00275.jpg,False,129,train
275,75,93,529,360,00276.jpg,False,131,train
276,72,193,926,613,00277.jpg,False,172,train
277,1,38,251,135,00278.jpg,False,155,train
278,16,31,553,297,00279.jpg,False,46,train
279,3,33,261,176,00280.jpg,False,106,val
280,214,240,387,342,00281.jpg,False,150,train
281,20,97,460,356,00282.jpg,False,60,train
282,112,190,664,342,00283.jpg,False,104,train
283,49,101,942,619,00284.jpg,False,93,train
284,7,20,634,298,00285.jpg,False,193,train
285,116,143,769,713,00286.jpg,False,194,val
286,56,299,1266,721,00287.jpg,False,90,train
287,60,46,258,138,00288.jpg,False,188,train
288,205,197,741,425,00289.jpg,False,14,val
289,68,30,620,506,00290.jpg,False,139,train
290,27,147,573,471,00291.jpg,False,141,val
291,133,73,806,251,00292.jpg,False,9,train
292,24,27,936,380,00293.jpg,False,103,train
293,11,141,629,386,00294.jpg,False,47,train
294,150,114,524,433,00295.jpg,False,49,train
295,18,115,618,456,00296.jpg,False,119,train
296,56,157,639,455,00297.jpg,False,86,train
297,49,67,362,245,00298.jpg,False,176,train
298,24,66,982,711,00299.jpg,False,146,train
299,41,103,994,692,00300.jpg,False,168,train
300,52,36,247,189,00301.jpg,False,120,train
301,1,37,296,171,00302.jpg,False,18,train
302,6,47,297,193,00303.jpg,False,30,train
303,14,29,235,168,00304.jpg,False,155,train
304,37,21,169,122,00305.jpg,False,142,train
305,37,125,582,456,00306.jpg,False,82,train
306,171,63,1187,894,00307.jpg,False,57,train
307,16,136,775,418,00308.jpg,False,5,val
308,50,122,589,338,00309.jpg,False,126,train
309,36,43,407,319,00310.jpg,False,130,train
310,1,69,280,228,00311.jpg,False,14,train
311,53,79,627,464,00312.jpg,False,72,val
312,13,44,477,289,00313.jpg,False,23,train
313,33,71,615,435,00314.jpg,False,86,train
314,555,278,1543,1207,00315.jpg,False,169,train
315,10,29,276,164,00316.jpg,False,122,train
316,2,48,300,202,00317.jpg,False,157,train
317,73,159,445,376,00318.jpg,False,10,train
318,38,8,564,402,00319.jpg,False,46,train
319,42,17,440,282,00320.jpg,False,6,train
320,42,63,593,397,00321.jpg,False,93,train
321,9,304,1009,677,00322.jpg,False,74,train
322,161,263,632,415,00323.jpg,False,181,train
323,15,26,199,123,00324.jpg,False,185,train
324,12,21,285,142,00325.jpg,False,127,train
325,29,28,432,249,00326.jpg,False,192,train
326,2,6,546,298,00327.jpg,False,179,train
327,41,49,244,176,00328.jpg,False,61,val
328,10,105,660,475,00329.jpg,False,113,train
329,168,92,333,305,00330.jpg,False,165,train
330,26,81,596,391,00331.jpg,False,180,train
331,76,247,396,396,00332.jpg,False,100,train
332,30,110,472,316,00333.jpg,False,102,train
333,179,300,1403,894,00334.jpg,False,21,train
334,23,31,236,176,00335.jpg,False,124,train
335,309,598,1767,995,00336.jpg,False,111,train
336,45,55,530,308,00337.jpg,False,37,train
337,14,129,441,360,00338.jpg,False,105,train
338,39,5,234,174,00339.jpg,False,55,train
339,139,152,488,305,00340.jpg,False,8,train
340,62,116,974,610,00341.jpg,False,66,val
341,152,195,502,436,00342.jpg,False,168,train
342,63,36,760,504,00343.jpg,False,146,train
343,36,59,770,397,00344.jpg,False,144,train
344,26,13,234,194,00345.jpg,False,112,train
345,112,21,2859,1928,00346.jpg,False,62,train
346,100,190,907,691,00347.jpg,False,144,val
347,14,59,522,266,00348.jpg,False,54,train
348,42,82,956,685,00349.jpg,False,88,train
349,17,52,247,158,00350.jpg,False,85,train
350,13,108,454,305,00351.jpg,False,41,val
351,107,40,433,240,00352.jpg,False,142,train
352,3,60,499,289,00353.jpg,False,116,train
353,44,212,984,596,00354.jpg,False,56,train
354,28,93,1011,675,00355.jpg,False,169,train
355,187,313,1381,1087,00356.jpg,False,114,train
356,31,47,415,255,00357.jpg,False,38,train
357,53,116,562,353,00358.jpg,False,28,train
358,27,71,630,422,00359.jpg,False,57,val
359,12,23,245,176,00360.jpg,False,69,train
360,17,64,941,620,00361.jpg,False,118,val
361,108,121,539,357,00362.jpg,False,49,val
362,14,60,402,300,00363.jpg,False,127,val
363,15,47,286,184,00364.jpg,False,52,train
364,17,82,630,496,00365.jpg,False,52,train
365,67,55,508,338,00366.jpg,False,31,train
366,30,118,618,334,00367.jpg,False,176,val
367,14,76,292,195,00368.jpg,False,58,train
368,40,52,603,357,00369.jpg,False,127,train
369,57,148,568,363,00370.jpg,False,9,train
370,5,56,430,245,00371.jpg,False,82,train
371,2,190,371,490,00372.jpg,False,167,val
372,243,318,805,629,00373.jpg,False,171,train
373,9,184,740,499,00374.jpg,False,5,train
374,122,48,697,401,00375.jpg,False,175,train
375,74,187,917,734,00376.jpg,False,134,train
376,20,48,624,453,00377.jpg,False,132,train
377,16,25,290,215,00378.jpg,False,155,train
378,119,194,942,586,00379.jpg,False,53,val
379,137,76,600,370,00380.jpg,False,98,train
380,66,88,455,322,00381.jpg,False,124,train
381,4,55,494,365,00382.jpg,False,145,train
382,80,1,549,431,00383.jpg,False,57,val
383,51,87,489,290,00384.jpg,False,58,train
384,217,199,631,358,00385.jpg,False,140,val
385,65,321,1232,828,00386.jpg,False,55,train
386,47,150,1007,635,00387.jpg,False,62,train
387,18,53,244,175,00388.jpg,False,130,val
388,5,96,409,262,00389.jpg,False,47,train
389,14,21,782,487,00390.jpg,False,159,train
390,433,262,1339,985,00391.jpg,False,165,train
391,62,220,992,667,00392.jpg,False,3,train
392,110,266,986,700,00393.jpg,False,194,train
393,229,126,624,345,00394.jpg,False,146,val
394,58,45,205,165,00395.jpg,False,130,train
395,21,99,442,295,00396.jpg,False,164,train
396,30,29,282,164,00397.jpg,False,22,train
397,29,93,408,242,00398.jpg,False,39,train
398,121,108,655,387,00399.jpg,False,25,val
399,32,51,260,153,00400.jpg,False,180,train
400,24,78,366,232,00401.jpg,False,87,train
401,1,18,392,240,00402.jpg,False,16,train
402,299,199,1415,894,00403.jpg,False,109,train
403,30,132,724,361,00404.jpg,False,179,val
404,42,37,624,328,00405.jpg,False,9,train
405,1,157,990,640,00406.jpg,False,74,train
406,19,136,498,329,00407.jpg,False,58,train
407,49,76,343,266,00408.jpg,False,18,train
408,21,66,605,463,00409.jpg,False,188,val
409,31,119,404,248,00410.jpg,False,4,train
410,52,47,586,260,00411.jpg,False,13,train
411,195,372,1908,1339,00412.jpg,False,175,train
412,33,150,613,401,00413.jpg,False,79,train
413,316,344,1269,891,00414.jpg,False,85,train
414,81,552,1917,1153,00415.jpg,False,54,train
415,122,157,921,587,00416.jpg,False,111,train
416,63,69,603,385,00417.jpg,False,49,val
417,12,70,388,273,00418.jpg,False,56,val
418,50,89,584,387,00419.jpg,False,72,train
419,71,64,425,328,00420.jpg,False,98,train
420,71,158,690,341,00421.jpg,False,151,train
421,32,74,277,203,00422.jpg,False,161,train
422,69,59,637,461,00423.jpg,False,84,train
423,22,83,415,322,00424.jpg,False,4,train
424,48,36,572,300,00425.jpg,False,6,train
425,85,318,1223,863,00426.jpg,False,193,train
426,33,128,581,458,00427.jpg,False,116,train
427,33,102,595,429,00428.jpg,False,178,train
428,83,182,573,402,00429.jpg,False,72,train
429,82,74,589,340,00430.jpg,False,184,train
430,47,201,534,426,00431.jpg,False,186,train
431,54,128,429,353,00432.jpg,False,162,train
432,58,189,879,642,00433.jpg,False,163,train
433,18,50,280,162,00434.jpg,False,170,val
434,20,75,606,325,00435.jpg,False,63,train
435,20,51,271,180,00436.jpg,False,50,val
436,19,67,412,314,00437.jpg,False,98,train
437,52,94,543,323,00438.jpg,False,25,train
438,11,89,644,415,00439.jpg,False,48,train
439,12,60,456,306,00440.jpg,False,106,train
440,30,35,382,235,00441.jpg,False,114,train
441,53,56,391,278,00442.jpg,False,189,val
442,37,60,218,144,00443.jpg,False,142,train
443,4,4,377,277,00444.jpg,False,78,train
444,121,169,1387,775,00445.jpg,False,179,train
445,17,41,465,293,00446.jpg,False,23,train
446,43,110,462,296,00447.jpg,False,161,val
447,37,67,617,437,00448.jpg,False,177,train
448,66,117,506,289,00449.jpg,False,179,val
449,57,59,506,288,00450.jpg,False,14,train
450,66,90,507,385,00451.jpg,False,188,train
451,59,42,256,165,00452.jpg,False,107,train
452,65,91,391,278,00453.jpg,False,120,val
453,251,299,1423,901,00454.jpg,False,48,val
454,434,136,1528,829,00455.jpg,False,193,val
455,79,63,285,171,00456.jpg,False,41,train
456,79,91,600,456,00457.jpg,False,117,train
457,16,96,483,277,00458.jpg,False,107,val
458,39,81,597,465,00459.jpg,False,83,train
459,95,139,886,541,00460.jpg,False,181,train
460,111,2,553,350,00461.jpg,False,178,train
461,5,8,83,58,00462.jpg,False,0,train
462,113,75,1551,1136,00463.jpg,False,88,train
463,72,216,884,579,00464.jpg,False,132,val
464,53,115,565,380,00465.jpg,False,186,train
465,104,261,511,480,00466.jpg,False,177,train
466,47,92,209,178,00467.jpg,False,13,train
467,1,18,300,147,00468.jpg,False,110,train
468,13,88,483,259,00469.jpg,False,92,train
469,4,9,409,193,00470.jpg,False,91,val
470,3,7,253,165,00471.jpg,False,17,val
471,34,315,1832,905,00472.jpg,False,139,train
472,18,38,249,178,00473.jpg,False,64,train
473,70,125,389,340,00474.jpg,False,128,train
474,21,85,793,389,00475.jpg,False,182,train
475,95,125,585,390,00476.jpg,False,140,train
476,160,175,923,623,00477.jpg,False,123,train
477,9,7,98,81,00478.jpg,False,173,train
478,133,38,691,514,00479.jpg,False,119,train
479,29,46,239,134,00480.jpg,False,108,train
480,6,44,270,175,00481.jpg,False,14,train
481,80,91,589,429,00482.jpg,False,183,train
482,18,26,623,342,00483.jpg,False,89,train
483,29,62,509,288,00484.jpg,False,125,train
484,70,118,401,299,00485.jpg,False,76,train
485,43,74,587,399,00486.jpg,False,57,train
486,8,23,296,167,00487.jpg,False,47,val
487,28,35,207,139,00488.jpg,False,55,val
488,55,78,454,272,00489.jpg,False,104,val
489,21,51,233,163,00490.jpg,False,28,train
490,37,14,358,288,00491.jpg,False,120,train
491,13,108,612,386,00492.jpg,False,60,train
492,19,116,700,400,00493.jpg,False,113,train
493,39,337,1239,711,00494.jpg,False,172,train
494,111,98,863,766,00495.jpg,False,85,train
495,24,132,1021,734,00496.jpg,False,80,val
496,6,79,470,287,00497.jpg,False,184,train
497,78,102,560,368,00498.jpg,False,118,train
498,12,31,412,249,00499.jpg,False,158,train
499,11,10,291,212,00500.jpg,False,83,train
500,4,30,146,86,00501.jpg,False,160,train
501,1,11,101,84,00502.jpg,False,87,train
502,11,48,491,237,00503.jpg,False,8,train
503,45,63,237,138,00504.jpg,False,128,val
504,49,88,226,172,00505.jpg,False,128,train
505,26,185,764,610,00506.jpg,False,166,train
506,139,206,590,395,00507.jpg,False,129,train
507,85,237,1561,1052,00508.jpg,False,166,train
508,64,130,554,341,00509.jpg,False,20,val
509,10,73,613,388,00510.jpg,False,113,val
510,74,43,569,407,00511.jpg,False,98,val
511,27,61,265,160,00512.jpg,False,103,val
512,12,164,533,351,00513.jpg,False,39,val
513,18,22,292,163,00514.jpg,False,108,train
514,17,70,282,166,00515.jpg,False,161,train
515,18,99,613,427,00516.jpg,False,52,val
516,20,205,1008,694,00517.jpg,False,42,train
517,34,57,237,178,00518.jpg,False,108,train
518,7,39,254,177,00519.jpg,False,161,train
519,14,59,253,142,00520.jpg,False,66,train
520,122,196,512,439,00521.jpg,False,152,train
521,6,7,94,68,00522.jpg,False,0,train
522,33,151,1000,528,00523.jpg,False,114,train
523,38,98,590,353,00524.jpg,False,125,train
524,116,148,391,318,00525.jpg,False,75,train
525,26,78,245,161,00526.jpg,False,107,train
526,56,3,736,271,00527.jpg,False,190,train
527,38,74,213,162,00528.jpg,False,120,val
528,45,44,563,415,00529.jpg,False,60,val
529,25,32,236,180,00530.jpg,False,160,train
530,167,396,1945,1016,00531.jpg,False,140,train
531,26,139,607,343,00532.jpg,False,79,train
532,40,68,487,263,00533.jpg,False,134,val
533,17,120,563,359,00534.jpg,False,138,train
534,508,240,1379,955,00535.jpg,False,153,train
535,29,116,593,409,00536.jpg,False,53,train
536,1,328,758,773,00537.jpg,False,171,train
537,56,214,1544,755,00538.jpg,False,106,train
538,30,11,413,316,00539.jpg,False,138,val
539,3,39,300,128,00540.jpg,False,71,train
540,12,52,275,208,00541.jpg,False,121,train
541,25,78,600,421,00542.jpg,False,85,train
542,8,79,397,240,00543.jpg,False,185,train
543,9,72,633,359,00544.jpg,False,178,train
544,5,569,2040,1468,00545.jpg,False,146,train
545,40,114,350,285,00546.jpg,False,33,train
546,63,110,592,351,00547.jpg,False,46,train
547,11,36,247,175,00548.jpg,False,12,val
548,8,5,547,267,00549.jpg,False,12,train
549,11,130,394,257,00550.jpg,False,97,train
550,227,315,766,532,00551.jpg,False,41,train
551,4,41,281,148,00552.jpg,False,45,train
552,16,95,628,339,00553.jpg,False,186,train
553,41,38,299,190,00554.jpg,False,137,val
554,37,89,603,317,00555.jpg,False,143,train
555,101,254,938,605,00556.jpg,False,162,train
556,117,15,723,513,00557.jpg,False,183,train
557,54,49,528,336,00558.jpg,False,81,val
558,20,65,612,409,00559.jpg,False,161,val
559,7,85,250,191,00560.jpg,False,106,train
560,151,169,573,425,00561.jpg,False,20,train
561,65,95,368,241,00562.jpg,False,58,val
562,9,78,899,520,00563.jpg,False,129,train
563,45,86,600,355,00564.jpg,False,71,train
564,187,117,649,492,00565.jpg,False,182,train
565,520,373,1582,1043,00566.jpg,False,28,train
566,19,34,247,159,00567.jpg,False,91,val
567,30,128,402,307,00568.jpg,False,137,train
568,25,234,1179,675,00569.jpg,False,57,train
569,10,44,239,193,00570.jpg,False,124,train
570,18,34,255,182,00571.jpg,False,130,train
571,78,245,896,604,00572.jpg,False,182,train
572,141,525,1803,1854,00573.jpg,False,169,val
573,117,95,612,362,00574.jpg,False,81,train
574,13,75,632,446,00575.jpg,False,120,train
575,20,24,232,156,00576.jpg,False,118,train
576,51,97,669,286,00577.jpg,False,70,train
577,177,229,931,789,00578.jpg,False,11,train
578,71,82,368,267,00579.jpg,False,32,val
579,49,241,1573,1075,00580.jpg,False,190,train
580,310,322,1121,691,00581.jpg,False,48,train
581,2,11,222,115,00582.jpg,False,137,train
582,107,66,566,314,00583.jpg,False,192,val
583,133,95,827,540,00584.jpg,False,184,train
584,388,220,1340,975,00585.jpg,False,88,val
585,31,105,246,194,00586.jpg,False,189,train
586,23,90,504,289,00587.jpg,False,151,train
587,12,56,247,155,00588.jpg,False,75,val
588,41,140,558,325,00589.jpg,False,40,train
589,9,16,299,204,00590.jpg,False,180,val
590,66,36,573,446,00591.jpg,False,49,train
591,62,128,615,389,00592.jpg,False,33,val
592,13,31,245,155,00593.jpg,False,79,train
593,33,85,596,395,00594.jpg,False,173,train
594,91,143,582,410,00595.jpg,False,68,train
595,9,53,212,132,00596.jpg,False,122,val
596,62,162,607,458,00597.jpg,False,74,train
597,25,84,280,198,00598.jpg,False,27,train
598,33,56,408,294,00599.jpg,False,185,train
599,47,14,360,181,00600.jpg,False,19,train
